formal_name,gsid,year,month,day,day_hour,hourly_avg
Kathmandu Airport,366,2015,1,8,16,98.75
Kathmandu Airport,366,2015,1,8,17,151.75
Kathmandu Airport,366,2015,1,8,18,211.5
Kathmandu Airport,366,2015,1,8,19,76.75
Kathmandu Airport,366,2015,1,8,20,75.25
Kathmandu Airport,366,2015,1,8,21,97.25
Kathmandu Airport,366,2015,1,8,22,59.5
Kathmandu Airport,366,2015,1,8,23,144.25
Kathmandu Airport,366,2015,1,9,0,199
Kathmandu Airport,366,2015,1,9,1,123
Kathmandu Airport,366,2015,1,9,2,142
Kathmandu Airport,366,2015,1,9,3,181.25
Kathmandu Airport,366,2015,1,9,4,183.25
Kathmandu Airport,366,2015,1,9,5,229.5
Kathmandu Airport,366,2015,1,9,6,103
Kathmandu Airport,366,2015,1,9,7,272
Kathmandu Airport,366,2015,1,9,8,193
Kathmandu Airport,366,2015,1,9,9,294.75
Kathmandu Airport,366,2015,1,9,10,258.25
Kathmandu Airport,366,2015,1,9,11,290
Kathmandu Airport,366,2015,1,9,12,239.5
Kathmandu Airport,366,2015,1,9,13,242
Kathmandu Airport,366,2015,1,9,14,126.5
Kathmandu Airport,366,2015,1,9,15,35.5
Kathmandu Airport,366,2015,1,13,4,295
Kathmandu Airport,366,2015,1,13,5,192.25
Kathmandu Airport,366,2015,1,13,6,191
Kathmandu Airport,366,2015,1,13,7,203
Kathmandu Airport,366,2015,1,13,8,238.5
Kathmandu Airport,366,2015,1,13,9,211.75
Kathmandu Airport,366,2015,1,13,10,205
Kathmandu Airport,366,2015,1,13,11,256.25
Kathmandu Airport,366,2015,1,13,12,137.25
Kathmandu Airport,366,2015,1,13,13,131.75
Kathmandu Airport,366,2015,1,13,14,100.5
Kathmandu Airport,366,2015,1,13,15,83.5
Kathmandu Airport,366,2015,1,13,16,61.75
Kathmandu Airport,366,2015,1,13,17,164.75
Kathmandu Airport,366,2015,1,13,18,93
Kathmandu Airport,366,2015,1,13,19,57.75
Kathmandu Airport,366,2015,1,13,20,45
Kathmandu Airport,366,2015,1,13,21,34.5
Kathmandu Airport,366,2015,1,13,22,21
Kathmandu Airport,366,2015,1,13,23,185.25
Kathmandu Airport,366,2015,1,14,0,35.25
Kathmandu Airport,366,2015,1,14,1,43.5
Kathmandu Airport,366,2015,1,14,2,152
Kathmandu Airport,366,2015,1,14,3,221.75
Kathmandu Airport,366,2015,1,14,4,155.5
Kathmandu Airport,366,2015,1,14,5,164.25
Kathmandu Airport,366,2015,1,14,6,161.25
Kathmandu Airport,366,2015,1,14,7,235.75
Kathmandu Airport,366,2015,1,14,8,209
Kathmandu Airport,366,2015,1,14,9,252
Kathmandu Airport,366,2015,1,14,10,222.5
Kathmandu Airport,366,2015,1,14,11,215
Kathmandu Airport,366,2015,1,14,12,203
Kathmandu Airport,366,2015,1,14,13,146
Kathmandu Airport,366,2015,1,14,14,37.25
Kathmandu Airport,366,2015,1,14,15,85.25
Kathmandu Airport,366,2015,1,14,16,99.5
Kathmandu Airport,366,2015,1,14,17,90
Kathmandu Airport,366,2015,1,14,18,33
Kathmandu Airport,366,2015,1,14,19,113.75
Kathmandu Airport,366,2015,1,14,20,163.75
Kathmandu Airport,366,2015,1,14,21,80.75
Kathmandu Airport,366,2015,1,14,22,49
Kathmandu Airport,366,2015,1,14,23,130
Kathmandu Airport,366,2015,1,15,0,56.25
Kathmandu Airport,366,2015,1,15,1,50
Kathmandu Airport,366,2015,1,15,2,165
Kathmandu Airport,366,2015,1,15,3,218
Kathmandu Airport,366,2015,1,15,4,126.5
Kathmandu Airport,366,2015,1,15,5,115.75
Kathmandu Airport,366,2015,1,15,6,147
Kathmandu Airport,366,2015,1,15,7,131.75
Kathmandu Airport,366,2015,1,15,8,194
Kathmandu Airport,366,2015,1,15,9,210.75
Kathmandu Airport,366,2015,1,15,10,207.75
Kathmandu Airport,366,2015,1,15,11,214.25
Kathmandu Airport,366,2015,1,15,12,254.25
Kathmandu Airport,366,2015,1,15,13,260
Kathmandu Airport,366,2015,1,15,14,77.25
Kathmandu Airport,366,2015,1,15,15,62.5
Kathmandu Airport,366,2015,1,15,16,176.75
Kathmandu Airport,366,2015,1,15,17,137.75
